"사용일자","호선명","역명","승차총승객수","하차총승객수","등록일자"
"20260523","경부선","당정","4802","4535","20260526"
"20260523","일산선","대곡","12985","13044","20260526"
"20260523","과천선","대공원","10676","11040","20260526"
"20260523","2호선","대림(구로구청)","21678","22445","20260526"
"20260523","7호선","대림(구로구청)","9175","9784","20260526"
"20260523","분당선","대모산입구","4273","3982","20260526"
"20260523","경부선","대방","7894","8664","20260526"
"20260523","신림선","대방","3697","2299","20260526"
"20260523","경춘선","대성리","2656","3206","20260526"
"20260523","안산선","대야미","5031","4282","20260526"
"20260523","3호선","대청","7389","6775","20260526"
"20260523","3호선","대치","12351","10813","20260526"
"20260523","일산선","대화","11537","9611","20260526"
"20260523","6호선","대흥(서강대앞)","8411","8258","20260526"
"20260523","경원선","덕계","6088","5581","20260526"
"20260523","중앙선","덕소","5477","5537","20260526"
"20260523","경원선","덕정","5820","5156","20260526"
"20260523","3호선","도곡","4578","4363","20260526"
"20260523","분당선","도곡","5717","5248","20260526"
"20260523","중앙선","도농","8223","7522","20260526"
"20260523","2호선","도림천","2429","2986","20260526"
"20260523","경원선","도봉","5044","4821","20260526"
"20260523","7호선","도봉산","7821","9978","20260526"
"20260523","경원선","도봉산","9864","6942","20260526"
"20260523","중앙선","도심","2347","1876","20260526"
"20260523","경인선","도원","2635","2675","20260526"
"20260523","경인선","도화","3675","3411","20260526"
"20260523","3호선","독립문","8450","9386","20260526"
"20260523","6호선","독바위","2258","2474","20260526"
"20260523","경부선","독산","10731","9831","20260526"
"20260523","6호선","돌곶이","9363","8316","20260526"
"20260523","1호선","동대문","17424","17856","20260526"
"20260523","4호선","동대문","21228","21179","20260526"
"20260523","4호선","동대문역사문화공원(DDP)","23130","20767","20260526"
"20260523","5호선","동대문역사문화공원(DDP)","1863","2135","20260526"
"20260523","2호선","동대문역사문화공원(DDP)","18110","21791","20260526"
"20260523","3호선","동대입구","12506","14180","20260526"
"20260523","경원선","동두천","1507","1549","20260526"
"20260523","경원선","동두천중앙","2797","2792","20260526"
"20260523","1호선","동묘앞","16629","18556","20260526"
"20260523","6호선","동묘앞","15721","16072","20260526"
"20260523","경인선","동암","14312","14587","20260526"
"20260523","경인선","동인천","13868","13536","20260526"
"20260523","9호선","동작(현충원)","2132","2087","20260526"
"20260523","4호선","동작(현충원)","2708","2892","20260526"
"20260523","경부선","두정","8715","8325","20260526"
"20260523","5호선","둔촌동","11085","10653","20260526"
"20260523","9호선2~3단계","둔촌오륜","3293","3178","20260526"
"20260523","9호선","등촌","9521","8811","20260526"
"20260523","경의선","디지털미디어시티","2580","2488","20260526"
"20260523","6호선","디지털미디어시티","10398","13013","20260526"
"20260523","공항철도 1호선","디지털미디어시티","11718","9378","20260526"
"20260523","2호선","뚝섬","22905","22084","20260526"
"20260523","5호선","마곡","11489","11366","20260526"
"20260523","9호선","마곡나루(서울식물원)","12137","11647","20260526"
"20260523","공항철도 1호선","마곡나루(서울식물원)","7565","8197","20260526"
"20260523","일산선","마두","6077","5933","20260526"
"20260523","7호선","마들","11251","10091","20260526"
"20260523","경춘선","마석","4716","4745","20260526"
"20260523","5호선","마장","4961","4494","20260526"
"20260523","5호선","마천","5610","5368","20260526"
"20260523","5호선","마포","9760","9480","20260526"
"20260523","6호선","마포구청","13009","10818","20260526"
"20260523","중앙선","망우","7798","7418","20260526"
"20260523","6호선","망원","19235","21113","20260526"
"20260523","경원선","망월사","7195","7137","20260526"
"20260523","분당선","망포","10990","9937","20260526"
"20260523","분당선","매교","4253","4204","20260526"
"20260523","3호선","매봉","7978","7825","20260526"
"20260523","분당선","매탄권선","4503","4120","20260526"
"20260523","7호선","먹골","10724","9681","20260526"
"20260523","7호선","면목","12697","11771","20260526"
"20260523","4호선","명동","41699","46306","20260526"
"20260523","5호선","명일","6893","6539","20260526"
"20260523","경부선","명학","5303","5029","20260526"
"20260523","8호선","모란","4712","3984","20260526"
"20260523","분당선","모란","17551","18277","20260526"
"20260523","5호선","목동","13022","13070","20260526"
"20260523","8호선","몽촌토성(평화의문)","7840","8557","20260526"
"20260523","3호선","무악재","3609","3506","20260526"
"20260523","2호선","문래","17271","18741","20260526"
"20260523","경의선","문산","6668","6009","20260526"
"20260523","8호선","문정","11335","11570","20260526"
"20260523","분당선","미금","11609","11926","20260526"
"20260523","5호선","미사","17121","17055","20260526"
"20260523","4호선","미아(서울사이버대학)","13861","12856","20260526"
"20260523","4호선","미아사거리","24026","22898","20260526"
"20260523","안산선","반월","4076","3953","20260526"
"20260523","7호선","반포","6186","5934","20260526"
"20260523","5호선","발산","18284","19562","20260526"
"20260523","2호선","방배","12048","12032","20260526"
"20260523","5호선","방이","7128","6648","20260526"
"20260523","경원선","방학","9049","8710","20260526"
"20260523","5호선","방화","5932","5563","20260526"
"20260523","장항선","배방","1575","1540","20260526"
"20260523","경의선","백마","6037","5561","20260526"
"20260523","일산선","백석","9441","9773","20260526"
"20260523","경춘선","백양리","120","125","20260526"
"20260523","경인선","백운","6063","5916","20260526"
"20260523","6호선","버티고개","1915","1934","20260526"
"20260523","과천선","범계","26133","25576","20260526"
"20260523","경춘선","별내","2421","2126","20260526"
"20260523","경부선","병점","15323","15373","20260526"
"20260523","7호선","보라매","6119","6074","20260526"
"20260523","신림선","보라매","3514","3097","20260526"
"20260523","신림선","보라매공원","1777","1922","20260526"
"20260523","신림선","보라매병원","4079","4022","20260526"
"20260523","우이신설선","보문","1620","1550","20260526"
"20260523","6호선","보문","7175","6428","20260526"
"20260523","경원선","보산","1648","1608","20260526"
"20260523","분당선","보정","1810","1584","20260526"
"20260523","분당선","복정","6","0","20260526"
"20260523","8호선","복정","7234","6140","20260526"
"20260523","장항선","봉명","1022","1013","20260526"
"20260523","9호선2~3단계","봉은사","17653","19675","20260526"
"20260523","2호선","봉천","20621","18483","20260526"
"20260523","6호선","봉화산(서울의료원)","6193","6023","20260526"
"20260523","경인선","부개","7367","6589","20260526"
"20260523","경강선","부발","2720","2390","20260526"
"20260523","경인선","부천","32058","32333","20260526"
"20260523","서해선","부천종합운동장","2581","2109","20260526"
"20260523","경인선","부평","32880","35908","20260526"
"20260523","우이신설선","북한산보국문","5789","4738","20260526"
"20260523","우이신설선","북한산우이","4675","4710","20260526"
"20260523","6호선","불광","4595","3941","20260526"
"20260523","3호선","불광","15188","16342","20260526"
"20260523","4호선","불암산","8923","8083","20260526"
"20260523","7호선","사가정","14811","14211","20260526"
"20260523","2호선","사당","40693","45493","20260526"
"20260523","4호선","사당","26728","23890","20260526"
"20260523","경춘선","사릉","1922","1808","20260526"
"20260523","수인선","사리","4631","3874","20260526"
"20260523","9호선","사평","3300","3086","20260526"
"20260523","안산선","산본","15682","16530","20260526"
"20260523","8호선","산성","5373","5261","20260526"
"20260523","4호선","삼각지(전쟁기념관)","6756","9234","20260526"
"20260523","6호선","삼각지(전쟁기념관)","8601","7387","20260526"
"20260523","경강선","삼동","1765","1713","20260526"
"20260523","2호선","삼성(무역센터)","34367","33133","20260526"
"20260523","9호선2~3단계","삼성중앙","3997","3873","20260526"
"20260523","일산선","삼송","17190","16240","20260526"
"20260523","우이신설선","삼양","2168","2266","20260526"
"20260523","우이신설선","삼양사거리","2661","2436","20260526"
"20260523","9호선2~3단계","삼전","6850","6171","20260526"
"20260523","분당선","상갈","4476","4343","20260526"
"20260523","4호선","상계","18067","16360","20260526"
"20260523","7호선","상도","10204","8878","20260526"
"20260523","안산선","상록수","13517","13627","20260526"
"20260523","7호선","상봉","17628","17023","20260526"
"20260523","중앙선","상봉","6175","5826","20260526"
"20260523","6호선","상수","11910","13705","20260526"
"20260523","2호선","상왕십리","11908","11118","20260526"
"20260523","6호선","상월곡(한국과학기술연구원)","5099","4404","20260526"
"20260523","5호선","상일동","10827","10381","20260526"
"20260523","경춘선","상천","526","424","20260526"
"20260523","6호선","새절(신사)","10213","9603","20260526"
"20260523","9호선","샛강","4053","3564","20260526"
"20260523","신림선","샛강","1494","1959","20260526"
"20260523","경의선","서강대","2276","2193","20260526"
"20260523","5호선","서대문","8947","8761","20260526"
"20260523","경부선","서동탄","1263","1225","20260526"
"20260523","경원선","서빙고","2267","2071","20260526"
"20260523","신림선","서울대벤처타운","9433","7895","20260526"
"20260523","2호선","서울대입구(관악구청)","41496","38251","20260526"
"20260523","분당선","서울숲","16999","18440","20260526"
"20260523","4호선","서울역","8793","21568","20260526"
"20260523","1호선","서울역","85748","85897","20260526"
"20260523","경의선","서울역","1596","1632","20260526"
"20260523","공항철도 1호선","서울역","15239","14653","20260526"
"20260523","경부선","서울역","13603","4586","20260526"
"20260523","신림선","서울지방병무청","2476","2748","20260526"
"20260523","신림선","서원","3199","2610","20260526"
"20260523","경부선","서정리","10322","8939","20260526"
"20260523","2호선","서초","14510","12702","20260526"
"20260523","분당선","서현","19936","20125","20260526"
"20260523","경원선","석계","7986","7895","20260526"
"20260523","6호선","석계","10704","10567","20260526"
"20260523","경부선","석수","7263","6679","20260526"
"20260523","9호선2~3단계","석촌","9493","8388","20260526"
"20260523","8호선","석촌","8049","9727","20260526"
"20260523","9호선2~3단계","석촌고분","6221","5905","20260526"
"20260523","2호선","선릉","30033","26030","20260526"
"20260523","분당선","선릉","5985","9252","20260526"
"20260523","과천선","선바위","6242","5134","20260526"
"20260523","9호선","선유도","5976","5533","20260526"
"20260523","9호선2~3단계","선정릉","6507","7518","20260526"
"20260523","분당선","선정릉","4110","3978","20260526"
"20260523","경부선","성균관대","13627","12960","20260526"
"20260523","경강선","성남","966","937","20260526"
"20260523","2호선","성수","59319","64406","20260526"
"20260523","4호선","성신여대입구(돈암)","22172","20451","20260526"
"20260523","우이신설선","성신여대입구(돈암)","3728","4081","20260526"
"20260523","경부선","성환","4423","4065","20260526"
"20260523","경부선","세류","3543","3551","20260526"
"20260523","경부선","세마","3465","3011","20260526"
"20260523","경강선","세종대왕릉","451","507","20260526"
"20260523","수인선","소래포구","6362","6405","20260526"
"20260523","경인선","소사","8127","7838","20260526"
"20260523","경원선","소요산","3116","3033","20260526"
"20260523","우이신설선","솔밭공원","2371","2246","20260526"
"20260523","우이신설선","솔샘","4828","4194","20260526"
"20260523","경인선","송내","20781","19931","20260526"
"20260523","수인선","송도","2596","2375","20260526"
"20260523","5호선","송정","5738","5408","20260526"
"20260523","경부선","송탄","5831","5265","20260526"
"20260523","8호선","송파","7703","7283","20260526"
"20260523","9호선2~3단계","송파나루","5143","5489","20260526"
"20260523","분당선","수내","8555","8074","20260526"
"20260523","7호선","수락산","11975","11518","20260526"
"20260523","안산선","수리산","3444","2887","20260526"
"20260523","경의선","수색","2534","2343","20260526"
"20260523","분당선","수서","15829","16644","20260526"
"20260523","3호선","수서","16788","16124","20260526"
"20260523","분당선","수원","8697","8657","20260526"
"20260523","경부선","수원","49064","54603","20260526"
"20260523","분당선","수원시청","13032","14261","20260526"
"20260523","4호선","수유(강북구청)","31331","30386","20260526"
"20260523","8호선","수진","4905","4353","20260526"
"20260523","4호선","숙대입구(갈월)","13584","13496","20260526"
"20260523","7호선","숭실대입구(살피재)","11615","10953","20260526"
"20260523","수인선","숭의","3692","3321","20260526"
"20260523","1호선","시청","18920","19794","20260526"
"20260523","2호선","시청","15390","12934","20260526"
"20260523","분당선","신갈","3355","3332","20260526"
"20260523","5호선","신금호","5100","5308","20260526"
"20260523","5호선","신길","4180","4074","20260526"
"20260523","경부선","신길","6798","5948","20260526"
"20260523","안산선","신길온천","2154","1999","20260526"
"20260523","경춘선","신내","2396","2115","20260526"
"20260523","9호선","신논현","29224","30660","20260526"
"20260523","2호선","신답","1417","1398","20260526"
"20260523","6호선","신당","8335","7578","20260526"
"20260523","2호선","신당","14345","15153","20260526"
"20260523","2호선","신대방","22493","20734","20260526"
"20260523","7호선","신대방삼거리","12858","11677","20260526"
"20260523","경부선","신도림","4031","4787","20260526"
"20260523","2호선","신도림","46846","45493","20260526"
"20260523","경강선","신둔도예촌","1528","1509","20260526"
"20260523","신림선","신림","2127","2483","20260526"
"20260523","2호선","신림","51597","48915","20260526"
"20260523","9호선","신목동","3398","2891","20260526"
"20260523","9호선","신반포","4672","4603","20260526"
"20260523","9호선","신방화","5446","5024","20260526"
"20260523","3호선","신사","22883","24138","20260526"
"20260523","우이신설선","신설동","2018","1853","20260526"
"20260523","2호선","신설동","4333","3968","20260526"
"20260523","1호선","신설동","12700","11518","20260526"
"20260523","4호선","신용산","20887","23876","20260526"
"20260523","중앙선","신원","272","283","20260526"
"20260523","경원선","신이문","7599","6559","20260526"
"20260523","5호선","신정(은행정)","10868","9217","20260526"
"20260523","2호선","신정네거리","8463","8183","20260526"
"20260523","장항선","신창(순천향대)","1577","1363","20260526"
"20260523","2호선","신촌","39903","43040","20260526"
"20260523","경의선","신촌","417","478","20260526"
"20260523","수인선","신포","2032","1936","20260526"
"20260523","7호선","신풍","9988","9357","20260526"
"20260523","8호선","신흥","5148","5186","20260526"
"20260523","4호선","쌍문","26124","23305","20260526"
"20260523","장항선","쌍용(나사렛대)","2423","2252","20260526"
"20260523","장항선","아산","4832","4381","20260526"
"20260523","중앙선","아신","636","683","20260526"
"20260523","5호선","아차산(어린이대공원후문)","15530","14963","20260526"
"20260523","2호선","아현","9494","8501","20260526"
"20260523","3호선","안국","27665","30874","20260526"
"20260523","안산선","안산","11452","12882","20260526"
"20260523","6호선","안암(고대병원앞)","9501","7121","20260526"
"20260523","경부선","안양","20741","20385","20260526"
"20260523","8호선","암사","13374","12296","20260526"
"20260523","8호선","암사역사공원","5670","5115","20260526"
"20260523","3호선","압구정","28389","29978","20260526"
"20260523","분당선","압구정로데오","19684","21214","20260526"
"20260523","5호선","애오개","5036","4615","20260526"
"20260523","경의선","야당","7425","7819","20260526"
"20260523","수인선","야목","686","629","20260526"
"20260523","분당선","야탑","20907","21894","20260526"
"20260523","6호선","약수","3158","3240","20260526"
"20260523","3호선","약수","10949","10479","20260526"
"20260523","중앙선","양수","2535","2604","20260526"
"20260523","중앙선","양원","2535","2520","20260526"
"20260523","3호선","양재(서초구청)","24211","25919","20260526"
"20260523","중앙선","양정","504","453","20260526"
"20260523","경원선","양주","7373","7000","20260526"
"20260523","2호선","양천구청","5221","5079","20260526"
"20260523","9호선","양천향교","7155","6637","20260526"
"20260523","중앙선","양평","5053","5635","20260526"
"20260523","5호선","양평","5370","4653","20260526"
"20260523","7호선","어린이대공원(세종대)","15873","14432","20260526"
"20260523","수인선","어천","1562","1345","20260526"
"20260523","9호선2~3단계","언주","7119","7135","20260526"
"20260523","5호선","여의나루","20658","21209","20260526"
"20260523","9호선","여의도","16936","16526","20260526"
"20260523","5호선","여의도","14200","16778","20260526"
"20260523","경강선","여주","3936","4265","20260526"
"20260523","경인선","역곡","22398","21628","20260526"
"20260523","2호선","역삼","19789","21860","20260526"
"20260523","6호선","역촌","3237","3571","20260526"
"20260523","수인선","연수","4873","4872","20260526"
"20260523","6호선","연신내","9","0","20260526"
"20260523","3호선","연신내","36671","34717","20260526"
"20260523","경원선","연천","1553","1550","20260526"
"20260523","9호선","염창","15155","13311","20260526"
"20260523","경부선","영등포","47342","49662","20260526"
"20260523","2호선","영등포구청","15923","16306","20260526"
"20260523","5호선","영등포구청","3221","3070","20260526"
"20260523","5호선","영등포시장","10358","10618","20260526"
"20260523","공항철도 1호선","영종","4852","5004","20260526"
"20260523","분당선","영통","8657","8234","20260526"
"20260523","5호선","오금","2819","2708","20260526"
"20260523","3호선","오금","4871","4620","20260526"
"20260523","경인선","오류동","10465","9415","20260526"
"20260523","분당선","오리","7836","6743","20260526"
"20260523","5호선","오목교(목동운동장앞)","19524","19723","20260526"
"20260523","수인선","오목천","3433","2628","20260526"
"20260523","중앙선","오빈","357","391","20260526"
"20260523","경부선","오산","12414","12073","20260526"
"20260523","경부선","오산대","4056","3672","20260526"
"20260523","안산선","오이도","8362","8877","20260526"
"20260523","3호선","옥수","8782","8732","20260526"
"20260523","경원선","옥수","48","39","20260526"
"20260523","경인선","온수(성공회대입구)","5522","4983","20260526"
"20260523","7호선","온수(성공회대입구)","6603","6374","20260526"
"20260523","장항선","온양온천","5685","5973","20260526"
"20260523","9호선2~3단계","올림픽공원(한국체대)","17157","17481","20260526"
"20260523","5호선","올림픽공원(한국체대)","6895","6985","20260526"
"20260523","2호선","왕십리(성동구청)","15583","14574","20260526"
"20260523","경원선","왕십리(성동구청)","17116","17012","20260526"
"20260523","5호선","왕십리(성동구청)","4301","5331","20260526"
"20260523","경원선","외대앞","10948","10067","20260526"
"20260523","2호선","용답","2743","2502","20260526"
"20260523","2호선","용두(동대문구청)","1975","1862","20260526"
"20260523","7호선","용마산(용마폭포공원)","5097","5141","20260526"
"20260523","중앙선","용문","2496","3067","20260526"
"20260523","경부선","용산","60124","67628","20260526"
"20260523","5호선","우장산","12571","12241","20260526"
"20260523","중앙선","운길산","1312","1401","20260526"
"20260523","공항철도 1호선","운서","10129","11022","20260526"
"20260523","경의선","운정","7247","6795","20260526"
"20260523","경의선","운천","13","10","20260526"
"20260523","일산선","원당","10666","10046","20260526"
"20260523","중앙선","원덕","427","437","20260526"
"20260523","수인선","원인재","4241","4443","20260526"
"20260523","서해선","원종","5341","5105","20260526"
"20260523","일산선","원흥","9144","8684","20260526"
"20260523","경원선","월계","5687","5070","20260526"
"20260523","6호선","월곡(동덕여대)","8884","8025","20260526"
"20260523","수인선","월곶","2713","2623","20260526"
"20260523","6호선","월드컵경기장(성산)","7881","8084","20260526"
"20260523","경의선","월롱","1462","1331","20260526"
"20260523","2호선","을지로3가","18847","19843","20260526"
"20260523","3호선","을지로3가","10845","10361","20260526"
"20260523","5호선","을지로4가","5305","5496","20260526"
"20260523","2호선","을지로4가","12214","12113","20260526"
"20260523","2호선","을지로입구","42987","42946","20260526"
"20260523","경원선","응봉","1866","1632","20260526"
"20260523","6호선","응암","15105","14471","20260526"
"20260523","경부선","의왕","7027","6631","20260526"
"20260523","경원선","의정부","20384","21453","20260526"
"20260523","2호선","이대","14975","15238","20260526"
"20260523","경강선","이매","973","813","20260526"
"20260523","분당선","이매","4619","4452","20260526"
"20260523","7호선","이수","15336","14366","20260526"
"20260523","경강선","이천","3800","4037","20260526"
"20260523","4호선","이촌(국립중앙박물관)","15988","16671","20260526"
"20260523","경원선","이촌(국립중앙박물관)","3994","3014","20260526"
"20260523","6호선","이태원","15930","20985","20260526"
"20260523","과천선","인덕원","20741","20280","20260526"
"20260523","수인선","인천","1496","2392","20260526"
"20260523","경인선","인천","6074","5797","20260526"
"20260523","공항철도 1호선","인천공항1터미널","13638","12723","20260526"
"20260523","공항철도 1호선","인천공항2터미널","12084","9269","20260526"
"20260523","수인선","인천논현","5029","5265","20260526"
"20260523","수인선","인하대","5969","5323","20260526"
"20260523","경의선","일산","10099","9667","20260526"
"20260523","3호선","일원","6675","6312","20260526"
"20260523","경의선","임진강","71","79","20260526"
"20260523","7호선","자양(뚝섬한강공원)","14846","13912","20260526"
"20260523","8호선","잠실(송파구청)","20259","23211","20260526"
"20260523","2호선","잠실(송파구청)","83157","81048","20260526"
"20260523","2호선","잠실나루","10286","10114","20260526"
"20260523","2호선","잠실새내","22444","21997","20260526"
"20260523","3호선","잠원","6152","5595","20260526"
"20260523","7호선","장승배기","8047","7478","20260526"
"20260523","7호선","장암","2566","1857","20260526"
"20260523","8호선","장지","13974","12466","20260526"
"20260523","5호선","장한평","14814","14074","20260526"
"20260523","경원선","전곡","1667","1561","20260526"
"20260523","우이신설선","정릉","4537","3701","20260526"
"20260523","일산선","정발산","7908","7975","20260526"
"20260523","과천선","정부과천청사","8310","8185","20260526"
"20260523","안산선","정왕","9091","9154","20260526"
"20260523","분당선","정자","12207","12264","20260526"
"20260523","1호선","제기동","16908","17206","20260526"
"20260523","경인선","제물포","8702","8361","20260526"
"20260523","1호선","종각","30412","29628","20260526"
"20260523","3호선","종로3가","11282","15301","20260526"
"20260523","1호선","종로3가","29914","28022","20260526"
"20260523","5호선","종로3가","20863","23310","20260526"
"20260523","1호선","종로5가","23909","23739","20260526"
"20260523","9호선2~3단계","종합운동장","5393","4920","20260526"
"20260523","2호선","종합운동장","17995","20695","20260526"
"20260523","경인선","주안","18829","16469","20260526"
"20260523","일산선","주엽","8232","7546","20260526"
"20260523","분당선","죽전","11399","12598","20260526"
"20260523","7호선","중계","11640","10314","20260526"
"20260523","7호선","중곡","8255","7617","20260526"
"20260523","경인선","중동","8077","7512","20260526"
"20260523","중앙선","중랑","5822","5201","20260526"
"20260523","안산선","중앙","19669","20510","20260526"
"20260523","9호선2~3단계","중앙보훈병원","7405","6867","20260526"
"20260523","7호선","중화","10896","9624","20260526"
"20260523","9호선","증미","4241","3854","20260526"
"20260523","6호선","증산(명지대앞)","8235","7701","20260526"
"20260523","3호선","지축","6229","6008","20260526"
"20260523","일산선","지축","2","0","20260526"
"20260523","중앙선","지평","66","62","20260526"
"20260523","경원선","지행","6848","6845","20260526"
"20260523","경부선","직산","1041","1003","20260526"
"20260523","경부선","진위","1392","1200","20260526"
"20260523","4호선","창동","25635","26194","20260526"
"20260523","경원선","창동","8","0","20260526"
"20260523","6호선","창신","2754","2297","20260526"
"20260523","경춘선","천마산","1649","1602","20260526"
"20260523","경부선","천안","8702","9330","20260526"
"20260523","7호선","천왕","8497","8225","20260526"
"20260523","8호선","천호(풍납토성)","17045","19486","20260526"
"20260523","5호선","천호(풍납토성)","21550","20332","20260526"
"20260523","7호선","철산","18228","18421","20260526"
"20260523","6호선","청구","3266","2935","20260526"
